symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2019-04-23 00:00:00+00:00,190.67,191.93,188.61,189.0,8671381,47.3461488711,47.6590252941,46.8346207509,46.9314634533,34685524,0.0,1.0
NVDA,2019-04-24 00:00:00+00:00,191.17,192.81,188.64,191.09,7955120,47.4703061818,47.877542161,46.8420701896,47.4504410121,31820480,0.0,1.0
NVDA,2019-04-25 00:00:00+00:00,186.91,190.45,183.7,189.55,12482437,46.4124858945,47.2915196544,45.6153959596,47.0680364951,49929748,0.0,1.0
NVDA,2019-04-26 00:00:00+00:00,178.09,180.89,173.3,180.71,21724729,44.2223509333,44.9176318734,43.0329238966,44.8729352415,86898916,0.0,1.0
NVDA,2019-04-29 00:00:00+00:00,179.33,180.45,175.5,178.41,9797983,44.5302610639,44.8083734399,43.5792160638,44.3018116122,39191932,0.0,1.0
NVDA,2019-04-30 00:00:00+00:00,181.0,182.03,177.26,178.03,9073040,44.9449464817,45.2007105418,44.0162497975,44.207452056,36292160,0.0,1.0
NVDA,2019-05-01 00:00:00+00:00,180.47,184.81,180.46,183.11,8857031,44.8133397324,45.8910251894,44.8108565861,45.468890333,35428124,0.0,1.0
NVDA,2019-05-02 00:00:00+00:00,183.19,184.87,179.12,180.86,9867135,45.4887555027,45.9059240667,44.4781149934,44.9101824347,39468540,0.0,1.0
NVDA,2019-05-03 00:00:00+00:00,183.01,183.93,180.53,183.53,8420587,45.4440588708,45.6725083226,44.8282386096,45.573182474,33682348,0.0,1.0
NVDA,2019-05-06 00:00:00+00:00,179.85,180.34,174.0,175.5,10554445,44.6593846671,44.7810588316,43.2067441316,43.5792160638,42217780,0.0,1.0
NVDA,2019-05-07 00:00:00+00:00,173.11,177.9,171.17,177.9,13880458,42.9857441185,44.1751711552,42.5040137529,44.1751711552,55521832,0.0,1.0
NVDA,2019-05-08 00:00:00+00:00,173.92,177.15,171.52,172.0,10479154,43.1868789619,43.9889351892,42.5909238704,42.7101148887,41916616,0.0,1.0
NVDA,2019-05-09 00:00:00+00:00,170.19,171.53,165.4,171.14,16506164,42.2606654239,42.5934070166,41.0712383872,42.4965643143,66024656,0.0,1.0
NVDA,2019-05-10 00:00:00+00:00,168.82,171.59,164.0,168.95,14237451,41.9204743925,42.6083058939,40.7235979171,41.9527552933,56949804,0.0,1.0
